,title,price,mileage,year,location
143,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
144,Honda Vario 150 Esp Exclusive,"Rp 17,900,000",10 - 30K KM,2016,Krajan
145,Honda Beat,"Rp 16,100,000",1 - 5K KM,2021,Kelapa Dua
146,Honda Cb 150 Verza Spoke,"Rp 17,800,000",1 - 5K KM,2018,Kelapa Dua
147,Honda Crf 150l,"Rp 29,900,000",1 - 5K KM,2019,Kelapa Dua
148,Yamaha Lexi,"Rp 18,000,000",1 - 5K KM,2019,Kelapa Dua
149,Yamaha Nmax Abs,"Rp 18,000,000",1 - 5K KM,2017,Kelapa Dua
150,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
151,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
152,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
153,Honda Cbr 150 Rcr,"Rp 20,100,000",1 - 5K KM,2017,Kelapa Dua
154,Honda Scoopy,"Rp 18,500,000",10 - 30K KM,2020,Pancoran Mas
155,Honda Vario Techno 110,"Rp 7,500,000",10 - 30K KM,2011,Pancoran Mas
156,Honda Vario 125 Cbs Iss,"Rp 11,200,000",10 - 30K KM,2015,Pancoran Mas
157,Honda Vario 150 Esp Exclusive,"Rp 22,400,000",5 - 10K KM,2020,Kahuman
158,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
159,Honda Pcx,"Rp 28,600,000",1 - 5K KM,2019,Kelapa Dua
160,Yamaha Nmax Abs,"Rp 21,700,000",1 - 5K KM,2017,Kelapa Dua
161,Honda Pcx,"Rp 28,600,000",1 - 5K KM,2019,Kelapa Dua
162,Honda Beat,"Rp 16,200,000",5 - 10K KM,2021,Kelapa Dua
163,Honda Pcx,"Rp 28,600,000",1 - 5K KM,2019,Kelapa Dua
164,Honda Beat,"Rp 16,100,000",1 - 5K KM,2021,Kelapa Dua
165,Yamaha Nmax Abs,"Rp 21,700,000",1 - 5K KM,2017,Kelapa Dua
166,Honda Beat,"Rp 16,100,000",1 - 5K KM,2021,Kelapa Dua
167,Honda Beat,"Rp 16,100,000",1 - 5K KM,2021,Kelapa Dua Wetan
